index,OFFER,CATEGORY
0,"Beyond Meat® Plant-Based products, spend $25",{'Plant-Based Meat'}
1,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",{'Plant-Based Meat'}
2,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",{'Plant-Based Meat'}
3,"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",{'Plant-Based Meat'}
4,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",{'Plant-Based Meat'}
5,"Beyond Meat® Plant-Based products, spend $15",{'Plant-Based Meat'}
6,"Beyond Meat® Plant-Based products, spend $20",{'Plant-Based Meat'}
7,Good Humor Viennetta Frozen Vanilla Cake,{'Frozen Desserts'}
8,"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",{'Frozen Desserts'}
9,"Butterball, select varieties, spend $10 at Dillons Food Store","{'Nut Butters & Jam', 'Frozen Turkey'}"
10,"Butterball, select varieties, spend $10 at Ralphs","{'Nut Butters & Jam', 'Frozen Turkey'}"
11,"Butterball, select varieties, Spend $10 at Ruler Foods","{'Nut Butters & Jam', 'Frozen Turkey'}"
12,"Butterball, select varieties, spend $10 at King Soopers","{'Nut Butters & Jam', 'Frozen Turkey'}"
13,"Butterball, select varieties, spend $10 at Fred Meyer","{'Nut Butters & Jam', 'Frozen Turkey'}"
14,"Butterball, select varieties, spend $10 at Kroger","{'Nut Butters & Jam', 'Frozen Turkey'}"
15,"Butterball, select varieties, spend $10 at Smith's","{'Nut Butters & Jam', 'Frozen Turkey'}"
16,"Butterball, select varieties, spend $10 at Food 4 Less","{'Nut Butters & Jam', 'Frozen Turkey'}"
17,"Butterball, select varieties, spend $10 at Fry's Food Store","{'Nut Butters & Jam', 'Frozen Turkey'}"
18,"Butterball, select varieties, spend $10 at QFC","{'Nut Butters & Jam', 'Frozen Turkey'}"
19,"Butterball, select varieties, spend $10 at Mariano's","{'Nut Butters & Jam', 'Frozen Turkey'}"
20,"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market","{'Nut Butters & Jam', 'Frozen Turkey'}"
21,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",{'Sports Drinks'}
22,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2","{'Meal Replacement Beverages', 'Sports Drinks'}"
23,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",{'Sports Drinks'}
